 Let?s start with the basics. What is a virus?	"This is a small piece of the genetic code of RNA or DNA, protected by an external protein coat."
 How common are viruses?	"They are everywhere. If you add together all the viruses that exist in the world, their mass will exceed the mass of living matter ? plants, animals and bacteria combined. 10% of the human genome is the DNA of viruses. Earth is actually a planet of viruses!"
Why is it so difficult to stop the spread of the virus?	"Viral particles are incredibly small. After someone has coughed, billions of these particles can float in the air."
How small are the viruses?	They are tiny. You will not see them even with a standard microscope. 
what do viral particals do?	"They try to invade the inside of a living cell in order to multiply, infect other cells and other host."
why do they need it?	"This is their way of reproduction. Viruses act like parasites. They capture living cells to make everyone produce new viruses. Once inside, the virus sends hundreds or thousands of copies. As a result, the captured cell often dies."
What does it mean to become infected with a new type of coronavirus (SARS ? CoV2)?	This means that SARS ? CoV2 has begun to multiply in your body.
What is the difference between SARS ? CoV2 and COVID ? 19?	"SARS ? CoV2 is the virus, and COVID ? 19 is the disease that this virus causes."
Is it easy for a virus to get inside a living cell?	"irst of all, it depends on whether the cell has a suitable receptor for a particular virus. Imagine a keyhole and a key. Not every key will fit an existing well. Most viruses are blocked by our immune system or cannot get inside, since we do not have receptors suitable for them. Therefore, 99% of them are not dangerous to humans."
And how many types of viruses and how many are dangerous for us?	"Of the millions of species, only a few hundred are dangerous to humans. New viruses appear constantly. Most of them are harmless."
 How many viral particles do you need on average to get infected?	We do not know this yet regarding SARS ? CoV2. But usually quite a bit.
How many coronaviruses affect humans?	"In total there are seven coronaviruses that are transmitted from person to person. Four cause a mild cold, but the other three can be fatal. These are viruses invoking SARS, Middle East Respiratory Syndrome (MERS), and the new type of coronavirus (SARS ? CoV2)."
Why is it called a ?new type of coronavirus??	"The name means that the virus is new to humans, and this is exactly what we have not seen before. Our immune system has evolved over two million years. But since this virus has never come across to our body, it was not possible to form an immunity to it. Our lack of immunity, the ability of the virus to spread rapidly and its relatively high mortality rate ? this is why the appearance of SARS ? CoV2 is so worrying for everyone."
How often are new viruses worth worrying about?	"Rarely. Examples include viruses that cause diseases such as HIV, SARS, Middle East respiratory syndrome. The emergence of a new virus is a very big problem if it can spread easily among people and if it is dangerous."
How fast is the new visrus spreding?	SARS ? CoV2 spreads quite easily from person to person through coughing and touching. It is a virus transmitted by airborne droplets.
Are there any other methods of distribution?	
How is a new virus different from previous ones?	"It has four important differences:

Many infected people do not show symptoms for several days. This leads to two problems: people involuntarily infect others and we don?t know who to quarantine. This is especially troubling because SARS ? CoV2 is highly contagious.
In 80% of cases, COVID ? 19 is mild, similar to the common cold. Because of this, people are not isolated and infect others.
According to the symptoms, the disease can be confused with the flu , so many believe that they have it.
Most importantly, the virus is very easily transmitted from person to person, because in the early stages it is concentrated in the upper part of the throat. When an infected person sneezes or coughs, billions of viral particles can enter the air and other organisms."
Doesn?t it cause pneumonia? What does the throat have to do with it?	"The disease often begins in the throat (therefore, a smear is taken from there) and then goes down to the lungs and becomes a respiratory infection of the lower respiratory tract."
 I often hear the word ?asymptomatic.? What does it mean?	"That a person has no symptoms of the disease, it does not manifest itself."
"That is, someone can become infected with this virus and have no symptoms at all?"	"Unfortunately yes. Many people who become infected have no symptoms during the first few days, and then there are signs of a cold or a slight fever. This is the opposite of SARS, during which a person has obvious symptoms for several days, but you can infect someone only while you are sick."
"If you have no symptoms, can you infect others?"	"Unfortunately, yes. Because of this, it is much more difficult to slow down the spread of the virus."
What is the likelihood that scientists will create a vaccine that will prevent coronavirus infection?	"High enough, but no guarantees. Failure is also possible. For example, scientists have been looking for a vaccine against HIV for 35 years, but it never appeared. I am optimistic and believe that we will receive a vaccine from SARS ? CoV2, but it will have to be tested repeatedly for effectiveness and safety, and this takes a lot of people and time."
Suppose a vaccine is coming soon. How much time will pass before we can vaccinate millions of people?	Suppose a vaccine is coming soon. How much time will pass before we can vaccinate millions of people?
Why so long?	"So much time is taken not by creating a vaccine, but by testing it. As soon as a candidate vaccine appears in the laboratory, it needs a series of clinical trials. First on animals, and then on gradually increasing groups of people."
Already have progress?	"Just a few weeks after the detection and isolation of the SARS ? CoV2 strain, which occurred in early January 2020, vaccine development began. Many governments and companies have allocated funds for this, and scientists from around the world are working on it hastily."
Scientists from different countries collaborate or compete?	"Both that and another that is not bad. But overall, international cooperation is well supported. This is encouraging."
And you can not develop a vaccine faster?	"Unfortunately, there is no way to cut the path. The human immune system is complex and unpredictable. Virus mutations may occur. Children are different from adults. Men and women may have a different reaction. We must be sure that the vaccine is 100% safe for everyone who receives it. To do this, the tool is tested in different doses on a wide range of healthy volunteers under carefully controlled conditions."
